Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.reflect.Executable,Executable,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterExtractor.java,9
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesAnnotationIntrospector.java,32
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.reflect.MalformedParametersException,MalformedParametersException,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesAnnotationIntrospector.java,44
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.fasterxml.jackson.module.paramnames.ParameterNamesAnnotationIntrospector,ParameterNamesAnnotationIntrospector,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesModule.java,25
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Serializable,Serializable,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterExtractor.java,6
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.reflect.Parameter,Parameter,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesAnnotationIntrospector.java,52
JDK:java.base,N/A,false,MethodCallExpr,java.lang.reflect.Parameter,isNamePresent,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesAnnotationIntrospector.java,49
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesModule.java,32
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesAnnotationIntrospector.java,39
JDK:java.base,N/A,false,MethodCallExpr,java.lang.reflect.Executable,getParameters,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterExtractor.java,10
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.fasterxml.jackson.module.paramnames.ParameterExtractor,ParameterExtractor,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesAnnotationIntrospector.java,23
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.fasterxml.jackson.module.paramnames.ParameterExtractor,ParameterExtractor,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesAnnotationIntrospector.java,25
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.fasterxml.jackson.module.paramnames.ParameterExtractor,ParameterExtractor,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesModule.java,25
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.reflect.Parameter,Parameter,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesAnnotationIntrospector.java,41
CLIENT:client-code,N/A,false,FieldAccessExpr,com.fasterxml.jackson.module.paramnames.ParameterNamesModule,creatorBinding,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesModule.java,19
CLIENT:client-code,N/A,false,FieldAccessExpr,com.fasterxml.jackson.module.paramnames.ParameterNamesAnnotationIntrospector,parameterExtractor,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesAnnotationIntrospector.java,28
CLIENT:client-code,N/A,false,ObjectCreationExpr,com.fasterxml.jackson.module.paramnames.ParameterExtractor,ParameterExtractor,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesModule.java,25
CLIENT:client-code,N/A,false,FieldAccessExpr,com.fasterxml.jackson.module.paramnames.ParameterNamesModule,creatorBinding,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterNamesModule.java,14
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.reflect.Parameter,Parameter,C:\Users\tyin363\Documents\repos\FasterXML__jackson-modules-java8\parameter-names\src\main\java\com\fasterxml\jackson\module\paramnames\ParameterExtractor.java,9
