Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,,false,ObjectCreationExpr,com.alipay.sofa.jraft.storage.impl.BDBLogStorage,BDBLogStorage,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\core\BDBLogStorageJRaftServiceFactory.java,35
com.alipay.sofa:jraft-core,1.4.0,false,MethodCallExpr,com.alipay.sofa.jraft.option.LogStorageOptions,getConfigurationManager,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,109
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.locks.Lock,unlock,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,215
com.sleepycat:je,18.3.12,false,ClassOrInterfaceType,com.sleepycat.je.Database,Database,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,76
com.sleepycat:je,18.3.12,false,ObjectCreationExpr,com.sleepycat.je.CursorConfig,CursorConfig,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,272
com.sleepycat:je,18.3.12,false,ClassOrInterfaceType,com.sleepycat.je.DatabaseException,DatabaseException,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,441
,,false,FieldAccessExpr,com.alipay.sofa.jraft.storage.impl.BDBLogStorage,confTable,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,365
,,false,FieldAccessExpr,com.alipay.sofa.jraft.storage.impl.BDBLogStorage,confTable,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,332
com.alipay.sofa:jraft-core,1.4.0,false,ObjectCreationExpr,com.alipay.sofa.jraft.conf.Configuration,Configuration,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,164
com.sleepycat:je,18.3.12,false,ClassOrInterfaceType,com.sleepycat.je.DatabaseEntry,DatabaseEntry,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,274
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.locks.Lock,lock,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,324
com.alipay.sofa:jraft-core,1.4.0,false,MethodCallExpr,com.alipay.sofa.jraft.entity.codec.LogEntryCodecFactory,decoder,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,112
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,get,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,373
com.sleepycat:je,18.3.12,false,MethodCallExpr,com.sleepycat.je.Environment,beginTransaction,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,501
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.locks.Lock,unlock,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,280
,,false,FieldAccessExpr,com.alipay.sofa.jraft.storage.impl.BDBLogStorage,readLock,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,513
org.slf4j:slf4j-api,1.7.21,true,MethodCallExpr,org.slf4j.Logger,error,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,522
com.alipay.sofa:jraft-core,1.4.0,false,MethodCallExpr,com.alipay.sofa.jraft.util.Utils,getBytes,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,97
com.alipay.sofa:jraft-core,1.4.0,false,ClassOrInterfaceType,com.alipay.sofa.jraft.entity.LogEntry,LogEntry,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,463
com.alipay.sofa:jraft-core,1.4.0,false,ClassOrInterfaceType,com.alipay.sofa.jraft.entity.LogEntry,LogEntry,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,430
,,false,MethodCallExpr,com.alipay.sofa.jraft.storage.impl.BDBLogStorage,truncatePrefixInBackground,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,177
,,false,MethodCallExpr,com.alipay.sofa.jraft.storage.impl.BDBLogStorage,load,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,192
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,224
com.sleepycat:je,18.3.12,false,ClassOrInterfaceType,com.sleepycat.je.OperationStatus,OperationStatus,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,297
com.alipay.sofa:jraft-core,1.4.0,false,MethodCallExpr,com.alipay.sofa.jraft.conf.ConfigurationEntry,setConf,C:\Users\tyin363\Documents\repos\sofastack__sofa-jraft\jraft-extension\bdb-log-storage-impl\src\main\java\com\alipay\sofa\jraft\storage\impl\BDBLogStorage.java,162
