Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
us.fatehi:schemacrawler,16.27.1,false,ClassOrInterfaceType,schemacrawler.tools.executable.commandline.PluginCommand,PluginCommand,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,33
us.fatehi:schemacrawler,16.27.1,false,ClassOrInterfaceType,schemacrawler.tools.databaseconnector.DatabaseConnector,DatabaseConnector,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,16
us.fatehi:schemacrawler,16.27.1,false,MethodCallExpr,us.fatehi.utility.datasource.DatabaseConnectionSourceBuilder,builder,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,27
us.fatehi:schemacrawler,16.27.1,false,ClassOrInterfaceType,us.fatehi.utility.datasource.DatabaseServerType,DatabaseServerType,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,20
us.fatehi:schemacrawler,16.27.1,false,MethodCallExpr,schemacrawler.tools.executable.commandline.PluginCommand,addOption,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,35
us.fatehi:schemacrawler,16.27.1,false,MethodCallExpr,schemacrawler.tools.databaseconnector.DatabaseConnector,getHelpCommand,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,34
us.fatehi:schemacrawler,16.27.1,false,MethodCallExpr,us.fatehi.utility.datasource.DatabaseConnectionSourceBuilder,withDefaultUrlx,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,27
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,39
us.fatehi:schemacrawler,16.27.1,false,MethodCallExpr,us.fatehi.utility.datasource.DatabaseConnectionSourceBuilder,withDefaultPort,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,27
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,38
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,37
us.fatehi:schemacrawler,16.27.1,false,ObjectCreationExpr,us.fatehi.utility.datasource.DatabaseServerType,DatabaseServerType,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,20
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,40
us.fatehi:schemacrawler,16.27.1,false,ClassOrInterfaceType,schemacrawler.tools.executable.commandline.PluginCommand,PluginCommand,C:\Users\tyin363\Documents\repos\schemacrawler__SchemaCrawler\schemacrawler-db2\src\main\java\schemacrawler\server\db2\DB2DatabaseConnector.java,34
