Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\SqlArgument.java,71
,,false,ClassOrInterfaceType,io.confluent.ksql.schema.ksql.types.SqlStruct.Field,Field,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlStruct.java,162
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Iterable,forEach,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlStruct.java,182
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlMap.java,72
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlDecimal.java,49
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\function\udf\Udf.java,32
,,false,FieldAccessExpr,io.confluent.ksql.schema.ksql.types.SqlDecimal,scale,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlDecimal.java,107
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Stream,findAny,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\JavaToSqlConverter.java,56
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,get,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\types\KsqlStruct.java,244
,,false,ClassOrInterfaceType,io.confluent.ksql.schema.ksql.types.SqlStruct,SqlStruct,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlTypes.java,59
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\JavaToSqlConverter.java,43
,,false,MethodCallExpr,io.confluent.ksql.schema.ksql.types.SqlDecimal,of,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlDecimal.java,147
,,false,ClassOrInterfaceType,io.confluent.ksql.schema.ksql.types.SqlType,SqlType,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\SqlArgument.java,69
,,false,MethodCallExpr,io.confluent.ksql.schema.utils.FormatOptions,shouldQuote,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\utils\FormatOptions.java,79
,,false,FieldAccessExpr,io.confluent.ksql.schema.ksql.types.SqlDecimal,PRECISION,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlDecimal.java,92
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlIntervalUnit.java,26
com.google.guava:guava,32.0.1-jre,false,MethodCallExpr,com.google.common.collect.ImmutableList,listIterator,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\types\KsqlStruct.java,86
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Collectors,joining,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlStruct.java,157
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\function\udf\Udf.java,33
,,false,ClassOrInterfaceType,io.confluent.ksql.schema.ksql.types.SqlType,SqlType,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlDecimal.java,25
,,false,ClassOrInterfaceType,io.confluent.ksql.schema.ksql.types.SqlLambda,SqlLambda,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlLambda.java,34
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\function\udaf\UdafDescription.java,34
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\function\udf\UdfDescription.java,64
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlDecimal.java,64
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\function\udaf\VariadicArgs.java,26
JDK:java.base,N/A,false,MethodCallExpr,java.util.function.BiConsumer,accept,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\types\KsqlStruct.java,259
,,false,ClassOrInterfaceType,io.confluent.ksql.schema.ksql.types.SqlStruct.Builder,Builder,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlStruct.java,48
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\schema\ksql\types\SqlMap.java,53
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\confluentinc__ksql\ksqldb-udf\src\main\java\io\confluent\ksql\function\udaf\VariadicArgs.java,33
