Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\aspectj\RateLimiterAspect.java,75
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\aspectj\RateLimiterAspect.java,85
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\aspectj\RateLimiterAspect.java,79
,NameExpr,org.ruoyi.common.ratelimiter.aspectj.RateLimiterAspect,context,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\aspectj\RateLimiterAspect.java,100
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\aspectj\RateLimiterAspect.java,112
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\annotation\RateLimiter.java,20
,ClassOrInterfaceType,org.ruoyi.common.ratelimiter.aspectj.RateLimiterAspect,RateLimiterAspect,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\config\RateLimiterConfig.java,16
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\aspectj\RateLimiterAspect.java,60
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\aspectj\RateLimiterAspect.java,89
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.reflect.Method,Method,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-ratelimiter\src\main\java\org\ruoyi\common\ratelimiter\aspectj\RateLimiterAspect.java,88
